hour,ny_ac_imp,ny_ac_exp,ny_nnc_imp,ny_nnc_exp,ny_csc_imp,ny_csc_exp,nb_imp,nb_exp,hq_highgate_imp,hq_highgate_exp,hq_p2_imp,hq_p2_exp,necec_imp,necec_exp
0,0.5,0,1,0,0,1,0.3,0,0.9,0,0.5,0,0.88,0
1,0.6,0,0.9,0,0,1,0.3,0,0.9,0,0.5,0,0.88,0
2,0.7,0,1,0,0,1,0.3,0,0.9,0,0.3,0,0.88,0
3,0.8,0,0.9,0,0,1,0.3,0,0.9,0,0.25,0,0.88,0
4,0.8,0,1,0,0,1,0.3,0,0.9,0,0.25,0,0.88,0
5,0.6,0,0.9,0,0,1,0.15,0,0.9,0,0.2,0,0.88,0
6,0.5,0,1,0,0,1,0.15,0,0.9,0,0.18,0,0.88,0
7,0.3,0,0.9,0,0,1,0.15,0,0.9,0,0.2,0,0.88,0
8,0.2,0,1,0,0,1,0.15,0,0.9,0,0.4,0,0.88,0
9,0.3,0,0.9,0,0,1,0.15,0,0.9,0,0.5,0,0.88,0
10,0.4,0,1,0,0,1,0.15,0,0.9,0,0.4,0,0.88,0
11,0.5,0,0.9,0,0,1,0.15,0,0.9,0,0.4,0,0.88,0
12,0.8,0,1,0,0,1,0,0,0.9,0,0.6,0,0.88,0
13,0.7,0,0.9,0,0,1,0,0,0.9,0,0.6,0,0.88,0
14,0.6,0,1,0,0,1,0,0,0.9,0,0.5,0,0.88,0
15,0.5,0,0.9,0,0,1,0.1,0,0.9,0,0.5,0,0.88,0
16,0.3,0,1,0,0,1,0.15,0,0.9,0,0.45,0,0.88,0
17,0.3,0,0.9,0,0,1,0.2,0,0.9,0,0.3,0,0.88,0
18,0.2,0,1,0,0,1,0.2,0,0.9,0,0.2,0,0.88,0
19,0.3,0,0.9,0,0,1,0.3,0,0.9,0,0.2,0,0.88,0
20,0.4,0,1,0,0,1,0.25,0,0.9,0,0.2,0,0.88,0
21,0.6,0,0.9,0,0,1,0.3,0,0.9,0,0.3,0,0.88,0
22,0.8,0,1,0,0,1,0.25,0,0.9,0,0.4,0,0.88,0
23,0.8,0,0.9,0,0,1,0.3,0,0.9,0,0.5,0,0.88,0
