hour,fcst_load,fcst_solar,fcst_wind,gas_price,ny_ac_imp,ny_ac_exp,ny_nnc_imp,ny_nnc_exp,ny_csc_imp,ny_csc_exp,nb_imp,nb_exp,hq_highgate_imp,hq_highgate_exp,hq_p2_imp,hq_p2_exp,necec_imp,necec_exp
0,12570,0,656,6.2,1600,1200,160,160,346,330,1000,200,225,100,2000,1200,1250,0
1,12210,0,695,6.2,1600,1200,160,160,346,330,1000,200,225,150,2000,1200,1250,0
2,12020,0,742,6.2,1600,1200,160,160,346,330,1000,200,225,150,2000,1200,1250,0
3,12100,0,818,6.2,1600,1200,160,160,346,330,1000,200,225,150,2000,1200,1250,0
4,12420,0,877,6.2,1600,1200,160,160,346,330,1000,200,225,100,2000,1200,1250,0
5,13500,0,891,6.2,1600,1200,160,160,346,330,1000,200,225,100,2000,1200,1250,0
6,14830,21,931,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
7,15210,187,940,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
8,14480,462,953,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
9,13620,642,904,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
10,13040,727,877,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
11,12670,745,890,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
12,12310,719,880,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
13,12350,660,889,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
14,12820,540,864,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
15,13700,357,844,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
16,15050,147,822,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
17,16250,17,812,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
18,16650,0,804,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
19,16410,0,792,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
20,15910,0,824,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
21,15300,0,823,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
22,14400,0,860,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
23,13620,0,846,6.2,1600,1200,0,0,346,330,1000,200,225,0,2000,1200,1250,0
